Id,Title,Place,Startime,Endtime
72,Tahajjud-Gebet,Haupthalle,2013-10-11 05:40:00 UTC,2013-10-11 06:20:00 UTC
73,Fajr-Gebet,Haupthalle,2013-10-11 06:30:00 UTC,2013-10-11 06:45:00 UTC
74,Frühstück,Essenszelt,2013-10-11 07:30:00 UTC,2013-10-11 10:00:00 UTC
75,Sportwettbewerbe (Khuddam),Sportfelder,2013-10-11 11:00:00 UTC,2013-10-11 13:00:00 UTC
76,Mittagessen und Vorbereitung auf die Gebete,Essenszelt,2013-10-11 12:00:00 UTC,2013-10-11 13:15:00 UTC
77,Fahnenhissen,Haupthalle,2013-10-11 13:20:00 UTC,2013-10-11 13:30:00 UTC
78,Namaz-e-Jumma,Haupthalle,2013-10-11 13:30:00 UTC,2013-10-11 14:00:00 UTC
79,Eröffnungszeremonie,Haupthalle,2013-10-11 14:00:00 UTC,2013-10-11 15:00:00 UTC
80,Sport- und Wissenswettbewerbe,Haupthalle/Sportfelder,2013-10-11 15:30:00 UTC,2013-10-11 18:30:00 UTC
81,Abendessen,Essenszelt,2013-10-11 18:00:00 UTC,2013-10-11 23:00:00 UTC
82,Maghrib- und Ishaa-Gebet & Talqeen-e-Amal,Hauptzelt,2013-10-11 19:00:00 UTC,2013-10-11 19:30:00 UTC
83,Freitagsansprache von Hadhrat Khalifatul Massih V,Haupthalle,2013-10-11 19:30:00 UTC,2013-10-11 20:30:00 UTC
84,Zonal Tauziehwettbewerb,Sportfelder,2013-10-11 21:00:00 UTC,2013-10-11 22:00:00 UTC
85,Europäisches Volleyballturnier,Volleyballfeld,2013-10-11 21:00:00 UTC,2013-10-11 22:30:00 UTC
86,Tahajjud-Gebet,Haupthalle,2013-10-12 05:40:00 UTC,2013-10-12 06:20:00 UTC
87,Fajr-Gebet und Dars-ul-Quran,Haupthalle,2013-10-12 06:30:00 UTC,2013-10-12 07:00:00 UTC
88,Frühstück und Beginn der Anmeldung,Essenszelt,2013-10-12 07:30:00 UTC,2013-10-12 09:00:00 UTC
89,Sport- und Wissenswettbewerbe,Haupthalle/Sportfelder,2013-10-12 09:00:00 UTC,2013-10-12 13:45:00 UTC
90,Rede-Wettbewerb der Nau-Mubaeen,Haupthalle,2013-10-12 12:30:00 UTC,2013-10-12 13:30:00 UTC
91,Mittagessen und Vorbereitung auf die Gebete,Essenszelt,2013-10-12 12:30:00 UTC,2013-10-12 13:45:00 UTC
92,Sohar- und Assr-Gebete - Talqeen-e-Amal,Haupthalle,2013-10-12 13:45:00 UTC,2013-10-12 14:30:00 UTC
93,Finale Wissenswettbewerbe,Haupthalle,2013-10-12 14:30:00 UTC,2013-10-12 15:15:00 UTC
94,Bildungs- und Wirtschaftsmesse,Haupthalle,2013-10-12 15:30:00 UTC,2013-10-12 20:00:00 UTC
95,Sport- und Wissenswettbewerbe,Haupthalle/Sportfelder,2013-10-12 15:30:00 UTC,2013-10-12 18:30:00 UTC
96,Abendessen,Essenszelt,2013-10-12 17:30:00 UTC,2013-10-12 19:00:00 UTC
97,Maghrib und Ishaa-Gebete,Hauptzelt,2013-10-12 19:15:00 UTC,2013-10-12 19:45:00 UTC
98,Spezialprogramm: 75 Jahre Majlis Khuddam-ul-Ahmadiyya,Hauptzelt,2013-10-12 19:45:00 UTC,2013-10-12 21:00:00 UTC
99,Zonal Tauziehwettbewerb,Sportfelder,2013-10-12 21:15:00 UTC,2013-10-12 22:30:00 UTC
100,Europäisches Volleyballturnier,Sportfelder,2013-10-12 21:15:00 UTC,2013-10-12 23:00:00 UTC
101,Tahajjud-Gebet,Haupthalle,2013-10-13 05:40:00 UTC,2013-10-13 06:20:00 UTC
102,Fajr-Gebet und Dars-ul-Quran,Haupthalle,2013-10-13 06:30:00 UTC,2013-10-13 07:00:00 UTC
103,Frühstück und Beginn der Anmeldung,Essenszelt,2013-10-13 07:30:00 UTC,2013-10-13 09:00:00 UTC
104,Halbfinale & Finale - Sportwettbewerbe & Wissenswettbewerbe Finale: Europäisches Volleyballturnier,Halle/Sport,2013-10-13 09:30:00 UTC,2013-10-13 14:00:00 UTC
105,Mittagessen und Vorbereitung für die Gebete,Essenszelt,2013-10-13 12:00:00 UTC,2013-10-13 14:15:00 UTC
106,Sohar- und Assr-Gebete,Haupthalle,2013-10-13 14:45:00 UTC,2013-10-13 15:00:00 UTC
107,Abschlusszeremonie,Haupthalle,2013-10-13 15:00:00 UTC,2013-10-13 17:30:00 UTC